trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
3970020,26,3,"Scio Church to Scio Ridge",,1,1002,shp-26-02,1,1
3536070,4,1,"Washtenaw to BTC",,0,5207,shp-4-06,1,1
3108070,25,1,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,3007,shp-25-52,1,1
1231070,45,1,"Grove to Ypsilanti Transit Ctr",,0,9507,shp-45-51,1,1
925020,62,3,"62 UM State to CCTC",,1,12702,shp-62-06,1,1
2416010,4,2,"Washtenaw to YTC",,1,5401,shp-4-55,1,1
878010,32,2,"Miller - Maple to Blake Transit Ctr",,0,4501,shp-32-06,1,1
3778020,46,3,"Huron Paint Creek to Huron River + Textile",,1,7202,shp-46-02,1,1
1570010,22,2,"Pontiac - Dhu Varren to BTC",,0,501,shp-22-01,1,1
1964010,67,2,"EISENHOWER-GOLFSIDE TO BRIARWOOD MALL",,0,13601,shp-67-02,1,1
2880020,44,3,"44 Ecorse Tyler to YTC",,0,7202,shp-44-52,1,1
3517070,27,1,"W. Stadium - Oak Valley to Meijer",,1,3207,shp-27-52,1,1
2345020,4,3,"Washtenaw to BTC",,0,5702,shp-4-06,1,1
2279070,23,1,"Plymouth to Blake Transit Ctr",,0,3607,shp-23-08,1,1
4050010,31,2,"Dexter Ave to Blake Transit Ctr",,0,11401,shp-31-04,1,1
3381020,31,3,"Dexter Ave to Jackson & Wagnor",,1,1102,shp-31-51,1,1
3995010,45,2,"Grove to Ypsilanti Transit Ctr",,0,8501,shp-45-51,1,1
4094070,47,1,"47 Harriet Michigan to YTC",,0,8007,shp-47-51,1,1
1218070,28,1,"28 Pauline to BTC",,0,3107,shp-28-10,1,1
2526020,6,3,"Ellsworth to Blake Transit Ctr",,0,11102,shp-6-11,1,1
490070,29,1,"Liberty to Scio Ridge",,1,4807,shp-29-51,1,1
2665020,67,3,"EISENHOWER-GOLFSIDE TO BRIARWOOD MALL",,0,11902,shp-67-02,1,1
244020,63,3,"U-M - Pontiac to Central Campus Transit Center",,0,13302,shp-63-05,1,1
3394020,30,3,"Jackson Rd to Meijer: Jackson Rd",,1,3602,shp-30-05,1,1
4115070,23,1,"Plymouth to Blake Transit Ctr",,0,3507,shp-23-08,1,1
1007010,67,2,"EISENHOWER-GOLFSIDE TO BRIARWOOD MALL",,0,13701,shp-67-02,1,1
831010,4,2,"Washtenaw to YTC",,1,5401,shp-4-55,1,1
3725010,4,2,"Washtenaw to YTC",,1,5401,shp-4-55,1,1
3375020,6,3,"Ellsworth to Ypsilanti Transit Center",,1,11802,shp-6-51,1,1
3036020,62,3,"U-M - State St to Wolverine Tower",,0,12502,shp-62-54,1,1
4018020,43,3,"E Michigan Ave to Holmes & Ridge",,1,8102,shp-43-02,1,1
1554010,46,2,"Paint Creek to Ypsilanti Transit Ctr",,0,8501,shp-46-51,1,1
1494020,4,3,"Washtenaw to YTC",,1,6102,shp-4-55,1,1
2471070,4,1,"Washtenaw to YTC",,1,5207,shp-4-55,1,1
4005010,30,2,"Jackson Rd to Meijer: Jackson Rd",,1,3301,shp-30-05,1,1
4071020,27,3,"W. Stadium - Oak Valley to Meijer",,1,2702,shp-27-52,1,1
825010,30,2,"Jackson Rd to BTC",,0,3501,shp-30-51,1,1
4074020,33,3,"Newport to Warrington & Newport",,1,3502,shp-33-51,1,1
3604020,4,3,"Washtenaw to BTC",,0,5402,shp-4-06,1,1
3461020,68,3,"Harris - Ford to Holmes & Ridge",,0,8102,shp-68-51,1,1
510020,42,3,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,7202,shp-42-52,1,1
1806010,45,2,"Grove to Harry & Grove",,1,8601,shp-45-03,1,1
2543070,46,1,"Paint Creek to Ypsilanti Transit Ctr",,0,9307,shp-46-51,1,1
1536020,65,3,"U-M - Downtown - Green to Glacier Hills",,1,12202,shp-65-53,1,1
3772020,62,3,"62 UM State to CCTC",,1,12402,shp-62-06,1,1
2245020,27,3,"W. Stadium - Oak Valley to Meijer",,1,2502,shp-27-52,1,1
2756020,29,3,"Liberty to Blake Transit Ctr",,0,1202,shp-29-01,1,1
1922070,42,1,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,9507,shp-42-52,1,1
844020,42,3,"Forest - MacArthur to MacArthur & Harris",,1,7002,shp-42-03,1,1
3965010,45,2,"Grove to Ypsilanti Transit Ctr",,0,8501,shp-45-51,1,1
640070,6,1,"Ellsworth to Ypsilanti Transit Center",,1,11207,shp-6-51,1,1
173070,3,1," Huron River to YTC",,1,4007,shp-3-53,1,1
1095020,28,3,"Pauline to Maple & Pennsylvania",,1,1702,shp-28-12,1,1
1590020,43,3,"E Michigan Ave to Ypsilanti Transit Ctr",,0,8002,shp-43-51,1,1
141010,5,2,"B Packard to BTC",,0,10501,shp-5-02,1,1
569020,67,3,"EISENHOWER-GOLFSIDE TO BRIARWOOD MALL",,0,11402,shp-67-02,1,1
2681020,47,3,"47 Harriet Michigan to Hewistt & Ellsworth",,1,8202,shp-47-02,1,1
87070,31,1,"Dexter Ave to Blake Transit Ctr",,0,4407,shp-31-04,1,1
3225070,31,1,"Dexter Ave to Blake Transit Ctr",,0,4507,shp-31-04,1,1
2627020,25,3,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,2602,shp-25-09,1,1
1708020,22,3,"Pontiac - Dhu Varren to BTC",,0,3402,shp-22-01,1,1
3636010,42,2,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,8601,shp-42-52,1,1
1372070,6,1,"Ellsworth to BTC",,0,11107,shp-6-01,1,1
2282020,45,3,"Grove to Harry & Grove",,1,7302,shp-45-03,1,1
2173020,5,3,"A Packard to BTC",,0,11002,shp-5-01,1,1
3806010,23,2,"Plymouth to Blake Transit Ctr",,0,3401,shp-23-08,1,1
480010,31,2,"Dexter Ave to Jackson & Wagnor",,1,11101,shp-31-51,1,1
1895020,5,3,"A Packard to BTC",,0,10202,shp-5-01,1,1
3770020,4,3,"Washtenaw to BTC",,0,5802,shp-4-06,1,1
3632010,4,2,"Washtenaw to BTC",,0,5301,shp-4-06,1,1
1087020,5,3,"Packard to Ypsilanti Transit Ctr",,1,10502,shp-5-07,1,1
4032070,66,1,"Carpenter - Huron Pkwy to Meijer Carpenter Rd",,0,13507,shp-66-58,1,1
2295020,4,3,"Washtenaw to BTC",,0,6302,shp-4-06,1,1
2292020,44,3,"44 Ecorse Tyler to YTC",,0,6902,shp-44-52,1,1
3313070,66,1,"Carpenter - Huron Pkwy to Meijer Carpenter Rd",,0,13407,shp-66-58,1,1
1512070,66,1,"Carpenter - Huron Pkwy to Meijer Carpenter Rd",,0,13507,shp-66-58,1,1
4280070,27,1,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,3107,shp-27-04,1,1
2867020,66,3,"Carpenter - Huron Pkwy to Meijer",,0,10402,shp-66-51,1,1
2537010,6,2,"Ellsworth to BTC",,0,11101,shp-6-01,1,1
1184010,45,2,"Grove to Harry & Grove",,1,8701,shp-45-03,1,1
2765020,62,3,"62 UM State to CCTC",,1,12602,shp-62-06,1,1
89070,67,1,"EISENHOWER-GOLFSIDE TO BRIARWOOD MALL",,0,13607,shp-67-02,1,1
2210070,67,1,"EISENHOWER-GOLFSIDE TO BRIARWOOD MALL",,0,13807,shp-67-02,1,1
3483020,43,3,"E Michigan Ave to Holmes & Ridge",,1,8202,shp-43-02,1,1
1523010,42,2,"42 Forest-MacArthur to YTC",,0,8601,shp-42-04,1,1
2708020,63,3,"U-M - Pontiac to Central Campus Transit Center",,0,12902,shp-63-05,1,1
200020,25,3,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,2702,shp-25-09,1,1
212010,25,2,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,3201,shp-25-09,1,1
1447020,28,3,"Pauline to Maple & Pennsylvania",,1,2202,shp-28-12,1,1
1659070,5,1,"A Packard to BTC",,0,9807,shp-5-01,1,1
293020,4,3,"Washtenaw to BTC",,0,6102,shp-4-06,1,1
927020,4,3,"Washtenaw to BTC",,0,6302,shp-4-06,1,1
1308070,28,1,"28 Pauline to BTC",,0,3107,shp-28-10,1,1
442010,67,2,"EISENHOWER-GOLFSIDE TO TRINITY HEALTH AA",,1,13601,shp-67-05,1,1
305070,6,1,"Ellsworth to Ypsilanti Transit Center",,1,11407,shp-6-51,1,1
2623010,47,2,"47 Harriet Michigan to Hewistt & Ellsworth",,1,10001,shp-47-02,1,1
2131020,61,3,"U-M Miller to Miller Rd P+R",,1,12302,shp-61-51,1,1
3326020,29,3,"Liberty to Scio Ridge",,1,1002,shp-29-51,1,1
1311070,66,1,"Carpenter - Huron Pkwy to Pierpont Commons",,1,13407,shp-66-08,1,1
1825020,23,3,"Plymouth to Plymouth Rd P&R",,1,1702,shp-23-60,1,1
4184020,64,3,"Geddes - E. Stadium to Central Campus Transit Ctr",,0,13002,shp-64-02,1,1
441020,33,3,"Newport to Blake Transit Ctr",,0,3902,shp-33-01,1,1
1742020,28,3,"28 Pauline to BTC",,0,2202,shp-28-10,1,1
942010,46,2,"Huron Paint Creek to Huron River + Textile",,1,8301,shp-46-02,1,1
2790020,62,3,"U-M - State to Central Campus Transit Ctr",,1,12702,shp-62-08,1,1
3325010,67,2,"EISENHOWER-GOLFSIDE TO BRIARWOOD MALL",,0,13701,shp-67-02,1,1
