STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,GEOIDFQ20,NAME20,MTFCC20,UR20,UACE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,Shape_Leng,Shape_Area
26,161,980101,1001,261619801011001,1000000US261619801011001,Block1001,G5040,U,02602,S,30960.000000000000000,0.000000000000000,+42.2807912,-083.7389919,9.000000000000000,40.000000000000000,0.009234797489750,0.000003379029243
26,161,400800,2007,261614008002007,1000000US261614008002007,Block2007,G5040,U,02602,S,10118.000000000000000,0.000000000000000,+42.2844045,-083.7403931,43.000000000000000,99.000000000000000,0.004238638620860,0.000001104360566
26,161,980102,1012,261619801021012,1000000US261619801021012,Block1012,G5040,U,02602,S,17037.000000000000000,0.000000000000000,+42.2827311,-083.7345692,2.000000000000000,5.000000000000000,0.005815964363270,0.000001859501542
26,161,400800,2006,261614008002006,1000000US261614008002006,Block2006,G5040,U,02602,S,10402.000000000000000,0.000000000000000,+42.2844399,-083.7391763,66.000000000000000,151.000000000000000,0.004268957552620,0.000001135378094
26,161,400800,2008,261614008002008,1000000US261614008002008,Block2008,G5040,U,02602,S,10255.000000000000000,0.000000000000000,+42.2834923,-083.7403450,49.000000000000000,141.000000000000000,0.004280165682960,0.000001119268650
26,161,400800,2015,261614008002015,1000000US261614008002015,Block2015,G5040,U,02602,S,10415.000000000000000,0.000000000000000,+42.2825831,-083.7403070,56.000000000000000,93.000000000000000,0.004311898178710,0.000001136736725
26,161,400800,2014,261614008002014,1000000US261614008002014,Block2014,G5040,U,02602,S,10370.000000000000000,0.000000000000000,+42.2816689,-083.7402739,39.000000000000000,57.000000000000000,0.004302083889100,0.000001131790764
26,161,400800,2010,261614008002010,1000000US261614008002010,Block2010,G5040,U,02602,S,10316.000000000000000,0.000000000000000,+42.2826164,-083.7390780,45.000000000000000,133.000000000000000,0.004284264668080,0.000001125919817
26,161,980101,1015,261619801011015,1000000US261619801011015,Block1015,G5040,U,02602,S,21888.000000000000000,0.000000000000000,+42.2729459,-083.7337989,76.000000000000000,156.000000000000000,0.006186401399920,0.000002388612329
26,161,400100,2006,261614001002006,1000000US261614001002006,Block2006,G5040,U,02602,S,7741.000000000000000,0.000000000000000,+42.2781988,-083.7413493,11.000000000000000,31.000000000000000,0.003833595654130,0.000000844850020
26,161,403600,2010,261614036002010,1000000US261614036002010,Block2010,G5040,U,02602,S,68463.000000000000000,0.000000000000000,+42.2974717,-083.7248884,133.000000000000000,227.000000000000000,0.010961802885900,0.000007474094312
26,161,402201,5003,261614022015003,1000000US261614022015003,Block5003,G5040,U,02602,S,31798.000000000000000,0.000000000000000,+42.2956430,-083.7233615,0.000000000000000,0.000000000000000,0.008454297597170,0.000003471269363
