GEOID20,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOIDFQ20,NAME20,MTFCC20,UR20,UACE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,Shape_Length,Shape_Area
261614033003008,26,161,403300,3008,1000000US261614033003008,Block3008,G5040,U,02602,S,39323.000000000000000,0.000000000000000,+42.2907443,-083.7865601,38.000000000000000,78.000000000000000,0.009657283572730,0.000004292397386
261614033003010,26,161,403300,3010,1000000US261614033003010,Block3010,G5040,U,02602,S,26543.000000000000000,0.000000000000000,+42.2909951,-083.7832203,26.000000000000000,64.000000000000000,0.008122192392647,0.000002897413420
261614033003013,26,161,403300,3013,1000000US261614033003013,Block3013,G5040,U,02602,S,14370.000000000000000,0.000000000000000,+42.2882877,-083.7865190,11.000000000000000,24.000000000000000,0.005044133973227,0.000001568567400
261614033004028,26,161,403300,4028,1000000US261614033004028,Block4028,G5040,U,02602,S,6940.000000000000000,0.000000000000000,+42.2846293,-083.7988936,1.000000000000000,6.000000000000000,0.003611722434354,0.000000757536956
261614154002000,26,161,415400,2000,1000000US261614154002000,Block2000,G5040,U,02602,S,445840.000000000000000,0.000000000000000,+42.2266525,-083.7041453,0.000000000000000,0.000000000000000,0.030666048974646,0.000047832759991
261614060001038,26,161,406000,1038,1000000US261614060001038,Block1038,G5040,U,02602,S,11815.000000000000000,0.000000000000000,+42.3079827,-083.7533802,1.000000000000000,5.000000000000000,0.005953662913778,0.000001142074662
261619802001000,26,161,980200,1000,1000000US261619802001000,Block1000,G5040,U,02602,S,145805.000000000000000,0.000000000000000,+42.2280368,-083.7424635,0.000000000000000,0.000000000000000,0.000823023528528,0.000000002851396
261614051001003,26,161,405100,1003,1000000US261614051001003,Block1003,G5040,U,02602,S,5345.000000000000000,0.000000000000000,+42.2447188,-083.7125573,2.000000000000000,7.000000000000000,0.007914549853044,0.000000583021833
261614053002033,26,161,405300,2033,1000000US261614053002033,Block2033,G5040,U,02602,S,1878.000000000000000,0.000000000000000,+42.2738093,-083.7053128,1.000000000000000,0.000000000000000,0.001785621483472,0.000000204974088
261614056004000,26,161,405600,4000,1000000US261614056004000,Block4000,G5040,U,02602,S,5304.000000000000000,0.000000000000000,+42.2373794,-083.7223579,0.000000000000000,0.000000000000000,0.009220339653736,0.000000578519967
261614055003006,26,161,405500,3006,1000000US261614055003006,Block3006,G5040,U,02602,S,32958.000000000000000,0.000000000000000,+42.2373414,-083.6978825,81.000000000000000,132.000000000000000,0.011868387448307,0.000003594549854
261614046001009,26,161,404600,1009,1000000US261614046001009,Block1009,G5040,U,02602,S,72515.000000000000000,0.000000000000000,+42.2466927,-083.7285622,144.000000000000000,196.000000000000000,0.013108302141578,0.000007910250838
261614046001002,26,161,404600,1002,1000000US261614046001002,Block1002,G5040,U,02602,S,38441.000000000000000,0.000000000000000,+42.2501835,-083.7295795,33.000000000000000,72.000000000000000,0.014380974900614,0.000004193511138
261614046004005,26,161,404600,4005,1000000US261614046004005,Block4005,G5040,U,02602,S,54273.000000000000000,0.000000000000000,+42.2530241,-083.7304653,42.000000000000000,77.000000000000000,0.011400810933807,0.000005920837427
261614046004004,26,161,404600,4004,1000000US261614046004004,Block4004,G5040,U,02602,S,38163.000000000000000,0.000000000000000,+42.2545946,-083.7304587,23.000000000000000,48.000000000000000,0.009036329970423,0.000004163467737
261614026013000,26,161,402601,3000,1000000US261614026013000,Block3000,G5040,U,02602,S,90469.000000000000000,0.000000000000000,+42.2973353,-083.7084668,1.000000000000000,9.000000000000000,0.031059681039019,0.000009876865991
261614056002004,26,161,405600,2004,1000000US261614056002004,Block2004,G5040,U,02602,S,124214.000000000000000,0.000000000000000,+42.2319190,-083.7027263,0.000000000000000,0.000000000000000,0.015675122148356,0.000013546557128
261614056002008,26,161,405600,2008,1000000US261614056002008,Block2008,G5040,U,02602,S,4783.000000000000000,0.000000000000000,+42.2306464,-083.7001766,0.000000000000000,0.000000000000000,0.002917575315715,0.000000502618440
261614031001043,26,161,403100,1043,1000000US261614031001043,Block1043,G5040,U,02602,S,5120.000000000000000,0.000000000000000,+42.3095313,-083.7666653,1.000000000000000,3.000000000000000,0.003371604586034,0.000000559111570
