Id,Label,0,1,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,Authority,Hub,pageranks,modularity_class,stat_inf_class,clustering,eigencentrality,weighted indegree,weighted outdegree,Weighted Degree
814,Stadium + Liberty,-83.77652,42.273655,2,1,3,87,0.023476,0.038523,23190,0,81,0,0,0.001461,19,2,0,0.165134,2,1,3
815,Stadium + Federal,-83.775421,42.272102,2,2,4,86,0.02403,0.04136,23213,0,81,0,0,0.001417,19,2,0.333333,0.315268,2,2,4
818,Pauline + Kay Parkway,-83.766739,42.268143,1,1,2,89,0.022452,0.035969,6766,0,81,0,0,0.001154,16,2,0,0.239703,1,1,2
820,Pauline + Van Dusen,-83.760574,42.268303,1,1,2,93,0.020632,0.030829,4356,0,81,0,0,0.00096,16,2,0,0.134734,1,1,2
821,Pauline + Hutchens,-83.756729,42.268379,1,1,2,92,0.021063,0.03242,4379,0,81,0,0,0.000992,16,2,0,0.088188,1,1,2
823,Huron + Fourth,-83.747452,42.281471,2,1,3,72,0.028915,0.038941,838.333333,0,124,0,0,0.000399,12,1,0,0.01213,2,1,3
824,Huron + Main,-83.74913,42.281513,2,2,4,71,0.02973,0.041482,54960.666667,0,81,0,0,0.002106,12,1,0,0.127772,2,2,4
825,Huron  + First,-83.751617,42.281586,1,1,2,70,0.030573,0.041218,54826.333333,0,81,0,0,0.001071,12,1,0,0.110065,1,1,2
826,Huron  + Chapin,-83.754242,42.281639,1,2,3,69,0.031514,0.043891,54849.333333,0,81,0,0,0.001086,18,1,0.166667,0.084532,1,2,3
827,Huron  + Seventh,-83.759377,42.281803,1,1,2,69,0.031491,0.04244,0,0,81,0,0,0.000637,18,1,0.5,0.063038,1,1,2
828,Huron + Arbana,-83.761803,42.281895,2,1,3,68,0.032488,0.044779,54895.333333,0,81,0,0,0.001178,18,1,0.166667,0.113678,2,1,3
829,Huron + Edmund,-83.76429,42.281956,1,2,3,67,0.033553,0.048132,54918.333333,0,81,0,0,0.001177,18,1,0,0.089844,1,2,3
830,Jackson + Mason,-83.789001,42.283012,1,1,2,82,0.022842,0.031497,12527,0,81,0,0,0.000947,18,1,0,0.117002,1,1,2
831,Jackson + Westgate,-83.781883,42.280838,1,1,2,81,0.02337,0.032865,12550,0,81,0,0,0.000981,18,1,0,0.077091,1,1,2
832,S - Jackson east of Maple,-83.778931,42.280472,1,1,2,80,0.023923,0.034623,12573,0,81,0,0,0.001009,18,1,0,0.055882,1,1,2
833,Jackson + Burwood,-83.776817,42.280663,2,2,4,79,0.024503,0.037348,28719,0,81,0,0,0.001724,18,1,0,0.09147,2,2,4
834,Jackson + Pleasant,-83.774345,42.280926,1,1,2,78,0.024723,0.031829,17299,0,81,0,0,0.000908,17,1,0,0.081051,1,1,2
835,S - Jackson at Hillside Terrace,-83.774223,42.280933,1,1,2,77,0.025334,0.032763,17322,0,81,0,0,0.000948,17,1,0,0.067675,1,1,2
836,Jackson  + Grandview,-83.770004,42.281372,1,1,2,76,0.025977,0.033805,17345,0,81,0,0,0.000981,17,1,0,0.055549,1,1,2
837,Jackson + Kenwood,-83.766853,42.281776,1,1,2,75,0.026653,0.035002,17368,0,81,0,0,0.001009,17,1,0,0.047989,1,1,2
838,Huron + Crest,-83.764473,42.281918,2,1,3,74,0.027366,0.036463,53383.333333,0,81,0,0,0.002109,17,1,0,0.090341,2,1,3
839,Huron + Ninth,-83.760612,42.281765,1,2,3,73,0.028118,0.038633,53406.333333,0,81,0,0,0.001968,17,1,0.166667,0.080705,1,2,3
840,Huron + Seventh,-83.757942,42.281681,1,1,2,73,0.028099,0.037182,0,0,81,0,0,0.001012,17,1,0.5,0.067588,1,1,2
841,Huron + Third,-83.753853,42.281551,2,1,3,72,0.028891,0.038905,53452.333333,0,81,0,0,0.001872,17,1,0.166667,0.123119,2,1,3
844,Fourth + Huron,-83.747192,42.281654,1,1,2,53,0.043208,0.058569,261.5,0,129,0,0,0.000225,12,1,0,0.006065,1,1,2
845,Catherine. + Fourth,-83.74749,42.283318,2,1,3,52,0.04509,0.063077,96050.666667,0,81,0,0,0.000634,12,1,0,0.195959,2,1,3
